year,co2,ch4,n2o
2012,394.00866,1798.6137,324.57523
2013,396.46384,1810.5166,325.36418
2014,399.00402,1823.6553,326.17584
2015,401.62793,1837.9657,327.0101
2016,404.32819,1853.3544,327.86681
2017,407.09588,1869.7086,328.7458
2018,409.92701,1886.932,329.64686
2019,412.82151,1904.9443,330.5698
2020,415.78022,1923.671,331.51441
2021,418.79629,1942.9669,332.4805
2022,421.86439,1962.6522,333.466
2023,424.99469,1982.667,334.46888
2024,428.19734,2003.0226,335.48893
2025,431.47473,2023.7269,336.52597
2026,434.82619,2044.7958,337.57981
2027,438.24456,2066.2057,338.65031
2028,441.7208,2087.9036,339.73729
2029,445.25085,2109.849,340.84061
2030,448.83485,2132.0135,341.96012
2031,452.47359,2154.3675,343.09567
2032,456.177,2177.3915,344.24737
2033,459.96398,2201.5638,345.41535
2034,463.85181,2226.8476,346.59946
2035,467.85003,2253.1982,347.79956
2036,471.96047,2280.5735,349.01549
2037,476.18237,2308.9451,350.24713
2038,480.50799,2338.2441,351.49431
2039,484.92724,2368.3713,352.75691
2040,489.43545,2399.2445,354.03477
2041,494.03235,2430.7994,355.32775
2042,498.7297,2463.0464,356.63072
2043,503.52959,2495.8939,357.93854
2044,508.43266,2529.2211,359.25107
2045,513.45614,2563.0514,360.56817
2046,518.61062,2597.397,361.88975
2047,523.90006,2632.2674,363.21573
2048,529.32418,2667.6834,364.54606
2049,534.8752,2703.6131,365.88072
2050,540.54279,2739.9847,367.21965
2051,546.32201,2776.7447,368.56281
2052,552.21189,2813.242,369.90868
2053,558.2122,2848.8704,371.25575
2054,564.31311,2883.5673,372.60399
2055,570.51669,2917.3139,373.95334
2056,576.84343,2950.2507,375.30378
2057,583.30471,2982.4981,376.65529
2058,589.90539,3014.164,378.00786
2059,596.64656,3045.3612,379.36147
2060,603.52045,3076.1345,380.71612
2061,610.5165,3106.4763,382.07179
2062,617.60526,3135.8246,383.42735
2063,624.76367,3163.6749,384.78169
2064,631.99471,3190.1288,386.13478
2065,639.29052,3215.1494,387.48663
2066,646.65274,3238.7451,388.83723
2067,654.09843,3261.1038,390.18657
2068,661.64491,3282.3905,391.53468
2069,669.30474,3302.7529,392.88155
2070,677.07762,3322.3407,394.2272
2071,684.95429,3341.2273,395.57163
2072,692.90196,3359.5415,396.9159
2073,700.89416,3377.4134,398.26104
2074,708.93159,3394.863,399.60708
2075,717.01548,3411.9104,400.954
2076,725.13597,3428.4336,402.30182
2077,733.30667,3444.364,403.65053
2078,741.52368,3459.8338,405.00013
2079,749.80466,3474.9586,406.3506
2080,758.1823,3489.8387,407.70193
2081,766.64451,3504.576,409.05411
2082,775.17446,3519.3467,410.40833
2083,783.75141,3534.256,411.7658
2084,792.36578,3549.2595,413.12648
2085,801.0188,3564.3348,414.49039
2086,809.71464,3579.4623,415.85749
2087,818.42214,3594.4751,417.22777
2088,827.15719,3609.2644,418.60119
2089,835.95594,3623.9383,419.97772
2090,844.80471,3638.5919,421.35734
2091,853.72536,3653.3103,422.74001
2092,862.72597,3667.6148,424.12308
2093,871.7768,3680.9857,425.50393
2094,880.86435,3693.4499,426.88253
2095,889.98162,3705.0444,428.25884
2096,899.12407,3715.8238,429.63285
2097,908.28871,3725.8411,431.00457
2098,917.47137,3734.9887,432.37401
2099,926.66527,3743.2127,433.7412
2100,935.87437,3750.6846,435.10615
2101,945.13213,3757.5653,436.46888
2102,954.4662,3763.718,437.8244
2103,963.83906,3769.0269,439.16769
2104,973.2408,3773.5841,440.49879
2105,982.68037,3777.4049,441.81772
2106,992.14288,3780.5142,443.12452
2107,1001.6311,3782.9561,444.41927
2108,1011.1191,3784.775,445.70209
2109,1020.6085,3785.8519,446.97308
2110,1030.1004,3786.1221,448.23234
2111,1039.5892,3785.7534,449.47999
2112,1049.1233,3784.9031,450.71613
2113,1058.7002,3783.7055,451.94086
2114,1068.3216,3782.297,453.15429
2115,1077.9995,3780.7222,454.35652
2116,1087.6999,3778.9487,455.54765
2117,1097.4303,3776.957,456.72778
