year,fossilco2 (gt/y),otherco2 (gt/y),ch4 (mt/y),n2o (mt/y)
1974,4.644,1.0387371,282.22003,5.9406002
1975,4.615,1.0315876,286.28503,6.1409693
1976,4.883,1.0906077,290.35002,6.3042588
1977,5.029,1.0939874,294.41502,6.534405
1978,5.105,1.09037,298.48002,6.6193729
1979,5.387,1.0647127,302.54501,7.007773
1980,5.332,1.0252096,306.61001,7.0613923
1981,5.168,1.0448621,310.01251,6.8417522
1982,5.127,1.1904055,313.415,7.1189858
1983,5.11,1.2255201,316.8175,7.2168971
1984,5.29,1.2600833,320.22,7.0481314
1985,5.444,1.2753449,323.6225,7.0169243
1986,5.61,1.2872023,327.025,7.0704917
1987,5.753,1.2940086,330.42749,7.4616728
1988,5.964,1.3167248,333.82999,7.2025077
1989,6.089,1.3236436,337.23249,7.3310397
1990,6.144,1.3194833,340.63499,7.5856812
1991,6.235,1.3809799,336.59218,7.4023631
1992,6.118,1.3035304,332.54937,7.7989323
1993,6.124,1.2981006,328.50656,7.3131034
1994,6.242,1.2895956,324.46375,7.5072841
1995,6.372,1.2750104,320.42094,7.6191035
1996,6.51,1.2511025,316.37814,7.6520638
1997,6.619,1.2181397,312.33533,7.9097526
1998,6.588,1.2148431,308.29252,7.8957263
1999,6.569,1.1827892,304.24971,7.5269849
2000,6.735,1.1488,300.2069,7.4566
2001,6.8959,1.132,303.4092,7.503
2002,6.949,1.2317,306.5788,7.5487
2003,7.286,1.2257,309.7164,7.5942
2004,7.6719,1.2429,312.824,7.6394
2005,7.971,1.1955,315.9027,7.6841
2006,8.1427,1.1676,320.0614,7.715
2007,8.3136,1.14,324.2127,7.7459
2008,8.4828667,1.1121667,328.34943,7.7766333
2009,8.6521333,1.0843333,332.48617,7.8073667
2010,8.8214,1.0565,336.6229,7.8381
2011,8.86803,1.04813,328.6374,7.79063
2012,8.91466,1.03976,320.6519,7.74316
2013,8.96129,1.03139,312.6664,7.69569
2014,9.00792,1.02302,304.6809,7.64822
2015,9.05455,1.01465,296.6954,7.60075
2016,9.10118,1.00628,288.7099,7.55328
2017,9.14781,0.99791,280.7244,7.50581
2018,9.19444,0.98954,272.7389,7.45834
2019,9.24107,0.98117,264.7534,7.41087
2020,9.2877,0.9728,256.7679,7.3634
2021,9.07462,0.95441,254.65433,7.35756
2022,8.86154,0.93602,252.54076,7.35172
2023,8.64846,0.91763,250.42719,7.34588
2024,8.43538,0.89924,248.31362,7.34004
2025,8.2223,0.88085,246.20005,7.3342
2026,8.00922,0.86246,244.08648,7.32836
2027,7.79614,0.84407,241.97291,7.32252
2028,7.58306,0.82568,239.85934,7.31668
2029,7.36998,0.80729,237.74577,7.31084
2030,7.1569,0.7889,235.6322,7.305
2031,6.8947,0.75891,234.57183,7.29221
2032,6.6325,0.72892,233.51146,7.27942
2033,6.3703,0.69893,232.45109,7.26663
2034,6.1081,0.66894,231.39072,7.25384
2035,5.8459,0.63895,230.33035,7.24105
2036,5.5837,0.60896,229.26998,7.22826
2037,5.3215,0.57897,228.20961,7.21547
2038,5.0593,0.54898,227.14924,7.20268
2039,4.7971,0.51899,226.08887,7.18989
2040,4.5349,0.489,225.0285,7.1771
2041,4.39997,0.46022,221.45546,7.08404
2042,4.26504,0.43144,217.88242,6.99098
2043,4.13011,0.40266,214.30938,6.89792
2044,3.99518,0.37388,210.73634,6.80486
2045,3.86025,0.3451,207.1633,6.7118
2046,3.72532,0.31632,203.59026,6.61874
2047,3.59039,0.28754,200.01722,6.52568
2048,3.45546,0.25876,196.44418,6.43262
2049,3.32053,0.22998,192.87114,6.33956
2050,3.1856,0.2012,189.2981,6.2465
2051,3.00896,0.2426,187.01509,6.19366
2052,2.83232,0.284,184.73208,6.14082
2053,2.65568,0.3254,182.44907,6.08798
2054,2.47904,0.3668,180.16606,6.03514
2055,2.3024,0.4082,177.88305,5.9823
2056,2.12576,0.4496,175.60004,5.92946
2057,1.94912,0.491,173.31703,5.87662
2058,1.77248,0.5324,171.03402,5.82378
2059,1.59584,0.5738,168.75101,5.77094
2060,1.4192,0.6152,166.468,5.7181
2061,1.28885,0.6075,165.95204,5.7204
2062,1.1585,0.5998,165.43608,5.7227
2063,1.02815,0.5921,164.92012,5.725
2064,0.8978,0.5844,164.40416,5.7273
2065,0.76745,0.5767,163.8882,5.7296
2066,0.6371,0.569,163.37224,5.7319
2067,0.50675,0.5613,162.85628,5.7342
2068,0.3764,0.5536,162.34032,5.7365
2069,0.24605,0.5459,161.82436,5.7388
2070,0.1157,0.5382,161.3084,5.7411
2071,0.06083,0.53938,160.68516,5.72833
2072,0.00596,0.54056,160.06192,5.71556
2073,-0.04891,0.54174,159.43868,5.70279
2074,-0.10378,0.54292,158.81544,5.69002
2075,-0.15865,0.5441,158.1922,5.67725
2076,-0.21352,0.54528,157.56896,5.66448
2077,-0.26839,0.54646,156.94572,5.65171
2078,-0.32326,0.54764,156.32248,5.63894
2079,-0.37813,0.54882,155.69924,5.62617
2080,-0.433,0.55,155.076,5.6134
2081,-0.47674,0.55524,154.41227,5.59813
2082,-0.52048,0.56048,153.74854,5.58286
2083,-0.56422,0.56572,153.08481,5.56759
2084,-0.60796,0.57096,152.42108,5.55232
2085,-0.6517,0.5762,151.75735,5.53705
2086,-0.69544,0.58144,151.09362,5.52178
2087,-0.73918,0.58668,150.42989,5.50651
2088,-0.78292,0.59192,149.76616,5.49124
2089,-0.82666,0.59716,149.10243,5.47597
2090,-0.8704,0.6024,148.4387,5.4607
2091,-0.87644,0.59329,147.8001,5.44286
2092,-0.88248,0.58418,147.1615,5.42502
2093,-0.88852,0.57507,146.5229,5.40718
2094,-0.89456,0.56596,145.8843,5.38934
2095,-0.9006,0.55685,145.2457,5.3715
2096,-0.90664,0.54774,144.6071,5.35366
2097,-0.91268,0.53863,143.9685,5.33582
2098,-0.91872,0.52952,143.3299,5.31798
2099,-0.92476,0.52041,142.6913,5.30014
2100,-0.9308,0.5113,142.0527,5.2823
