year,totalhuman,co2,ch4,n2o
2011,2.0873262,1.8483587,0.48657447,0.16771525
2012,2.1294562,1.8776554,0.48778959,0.16990379
2013,2.1718654,1.9069846,0.48901006,0.17209478
2014,2.2141785,1.9364166,0.49024654,0.17428817
2015,2.2566585,1.9659683,0.49151179,0.17648394
2016,2.299251,1.995568,0.49280482,0.17868202
2017,2.3418578,2.0251167,0.49411488,0.18088237
2018,2.3844425,2.0545783,0.4954349,0.18308494
2019,2.4274413,2.0839653,0.4967614,0.18528966
2020,2.4699551,2.1132986,0.49809095,0.1874965
2021,2.5107514,2.142503,0.49939521,0.18970541
2022,2.5511237,2.1717034,0.50062392,0.19191533
2023,2.5919114,2.2011892,0.5017654,0.19412523
2024,2.632821,2.231053,0.50284003,0.19633507
2025,2.673905,2.2613025,0.50386596,0.1985448
2026,2.7151681,2.2919099,0.50486238,0.20075441
2027,2.7565244,2.3227715,0.505834,0.20296384
2028,2.7978488,2.3537626,0.50677501,0.20517309
2029,2.8390857,2.3848242,0.50768279,0.20738214
2030,2.8805377,2.4159493,0.50855796,0.20959095
2031,2.9225181,2.4471439,0.50940095,0.21179951
2032,2.9639321,2.4781534,0.5101492,0.2140008
2033,3.0042179,2.5088668,0.5107558,0.2161878
2034,3.0440098,2.5395246,0.51125031,0.21836055
2035,3.0834365,2.5702467,0.51165617,0.22051908
2036,3.1225384,2.6010645,0.51199399,0.22266346
2037,3.1613183,2.6319705,0.5122852,0.22479378
2038,3.1996875,2.662877,0.51253646,0.22691021
2039,3.2375197,2.6936716,0.51274359,0.22901289
2040,3.2750676,2.7243024,0.51290547,0.23110196
2041,3.3126456,2.7547673,0.51302396,0.23317756
2042,3.349384,2.7849151,0.51306539,0.23523297
2043,3.3847214,2.8145156,0.51297297,0.2372615
2044,3.4191645,2.8436248,0.51274002,0.23926331
2045,3.4530458,2.87247,0.51239619,0.24123859
2046,3.4865759,2.9011769,0.51196531,0.24318756
2047,3.5198608,2.9297842,0.51146817,0.24511047
2048,3.5529558,2.9582922,0.51092632,0.2470076
2049,3.5858121,2.9866207,0.51034637,0.24887926
2050,3.6173051,3.0146618,0.50972392,0.25072571
2051,3.6463707,3.0423684,0.50905847,0.25254724
2052,3.6736211,3.0693909,0.5083022,0.2543447
2053,3.6997525,3.095422,0.5074108,0.25611895
2054,3.7247351,3.1204161,0.50636783,0.25787024
2055,3.7486124,3.1444232,0.50516798,0.25959884
2056,3.7716755,3.1676809,0.5038426,0.261305
2057,3.7941065,3.1903291,0.50241719,0.26298897
2058,3.815995,3.2124211,0.500914,0.264651
2059,3.8373926,3.2339723,0.49935582,0.26629131
2060,3.8579947,3.2549163,0.49775039,0.26791016
2061,3.8774453,3.2751546,0.49609457,0.26950776
2062,3.8957668,3.2944862,0.49436001,0.27108232
2063,3.9130469,3.3127723,0.49252369,0.27263205
2064,3.9293236,3.3300499,0.49059289,0.27415717
2065,3.9444869,3.3462466,0.48854814,0.27565792
2066,3.9585555,3.3614003,0.48638122,0.27713453
2067,3.9717959,3.3757368,0.48412053,0.27858726
2068,3.9843749,3.3893909,0.481789,0.28001636
2069,3.9963695,3.4024123,0.47940638,0.28142207
2070,4.0075677,3.4148148,0.47699313,0.28280467
2071,4.0176506,3.4265291,0.47455519,0.28416438
2072,4.0265759,3.4372972,0.47205922,0.28549944
2073,4.0343716,3.4469269,0.46947717,0.28680809
2074,4.041052,3.4554329,0.46681491,0.28809056
2075,4.0466425,3.4628368,0.46407807,0.28934711
2076,4.0510261,3.4690594,0.46124612,0.29057798
2077,4.0542094,3.4741267,0.45830976,0.29178343
2078,4.0564594,3.4782569,0.4553028,0.29296374
2079,4.05801,3.4815823,0.45229337,0.29411916
2080,4.0579978,3.4841511,0.44933472,0.29524995
2081,4.055443,3.4859786,0.44643746,0.29635638
2082,4.0528141,3.4876965,0.44368103,0.29744467
2083,4.0517091,3.4898332,0.44112454,0.29852106
2084,4.0511884,3.4922482,0.43874024,0.29958577
2085,4.0511669,3.4948901,0.43650686,0.30063902
2086,4.0515812,3.4977254,0.43440573,0.30168101
2087,4.0522382,3.5006277,0.4323955,0.30271187
2088,4.0530792,3.5035829,0.43044858,0.30373173
2089,4.0543036,3.5067763,0.42857449,0.30474069
2090,4.0560222,3.5103153,0.4267787,0.30573887
2091,4.0582617,3.5142262,0.42506473,0.30672637
2092,4.0610238,3.5185,0.42343776,0.3077033
2093,4.064205,3.5230427,0.4218901,0.30866974
2094,4.0676491,3.5277246,0.42040515,0.3096258
2095,4.0712635,3.5324729,0.41897075,0.31057159
2096,4.0750146,3.5372666,0.41757914,0.3115072
2097,4.0788866,3.5421013,0.41622362,0.31243274
2098,4.0827245,3.546871,0.41487386,0.31334831
2099,4.0865012,3.551578,0.41351203,0.31425401
2100,4.0902041,3.5564214,0.41215589,0.31514994
2101,4.0937349,3.5615212,0.4108185,0.31603619
2102,4.0973846,3.5666508,0.40957048,0.31690665
2103,4.1012115,3.5715667,0.40847632,0.31775521
2104,4.1049261,3.5762077,0.40752076,0.31858198
2105,4.1083854,3.5804644,0.4066807,0.31938707
2106,4.1115109,3.5842837,0.40593823,0.32017063
2107,4.1142807,3.5876611,0.40528048,0.32093283
2108,4.1166896,3.5906065,0.40469624,0.3216739
2109,4.1185913,3.5930255,0.40415142,0.32239403
2110,4.1199666,3.5949304,0.40362477,0.32309345
2111,4.1210499,3.5965304,0.40313078,0.32377236
2112,4.1220612,3.5980276,0.40267944,0.32443095
2113,4.1231272,3.5995347,0.40227829,0.32506942
2114,4.1242644,3.6010524,0.40193608,0.32568798
2115,4.1253836,3.6024967,0.40164846,0.32628681
2116,4.1263426,3.6037448,0.40140199,0.32686613
2117,4.1270611,3.6047301,0.40118725,0.3274261
2118,4.1275171,3.6054375,0.40099891,0.32796694
2119,4.1277055,3.605868,0.40083245,0.32848881
2120,4.1274799,3.605919,0.40065975,0.32899192
2121,4.1268206,3.6055958,0.40046483,0.32947644
2122,4.1260717,3.6052119,0.40026677,0.32994256
2123,4.1254824,3.6049934,0.40007954,0.33039045
2124,4.1251028,3.6049722,0.39991419,0.33082029
2125,4.1249548,3.6051476,0.39978256,0.33123226
2126,4.1249466,3.6054302,0.39968311,0.33162653
2127,4.1249313,3.6056931,0.39960482,0.33200327
2128,4.1248275,3.6058657,0.3995405,0.33236264
2129,4.1246121,3.6059297,0.39948675,0.33270482
2130,4.1242792,3.605883,0.39944075,0.33302997
2131,4.1236812,3.6056196,0.39937592,0.33333825
2132,4.1228146,3.6051589,0.39927766,0.33362983
2133,4.1219301,3.6047192,0.39916621,0.33390487
2134,4.1211748,3.6044236,0.3990566,0.33416353
2135,4.1206088,3.6043129,0.39896086,0.33440595
2136,4.1202559,3.6043903,0.39889174,0.3346323
2137,4.1200294,3.6045701,0.39884844,0.33484273
2138,4.1197891,3.6047277,0.39882067,0.33503739
2139,4.1194564,3.6047946,0.39880186,0.33521642
2140,4.1190103,3.6047542,0.39878918,0.33537997
2141,4.1184469,3.6046058,0.3987803,0.33552819
2142,4.1176184,3.6042426,0.3987491,0.33566122
2143,4.1165043,3.6036662,0.3986814,0.33577921
2144,4.1153415,3.6030813,0.3985978,0.33588229
2145,4.1142806,3.6026139,0.39851365,0.33597061
2146,4.113384,3.6023072,0.39844125,0.33604429
2147,4.1126776,3.6021664,0.39839355,0.33610349
2148,4.1120764,3.602107,0.39836999,0.33614832
2149,4.1114412,3.6020055,0.39836046,0.33617892
2150,4.1111011,3.6019319,0.39835819,0.33619068
2151,4.1111011,3.6019319,0.39835819,0.33619068
2152,4.1111011,3.6019319,0.39835819,0.33619068
2153,4.1111011,3.6019319,0.39835819,0.33619068
2154,4.1111011,3.6019319,0.39835819,0.33619068
2155,4.1111011,3.6019319,0.39835819,0.33619068
2156,4.1111011,3.6019319,0.39835819,0.33619068
2157,4.1111011,3.6019319,0.39835819,0.33619068
2158,4.1111011,3.6019319,0.39835819,0.33619068
2159,4.1111011,3.6019319,0.39835819,0.33619068
2160,4.1111011,3.6019319,0.39835819,0.33619068
2161,4.1111011,3.6019319,0.39835819,0.33619068
2162,4.1111011,3.6019319,0.39835819,0.33619068
2163,4.1111011,3.6019319,0.39835819,0.33619068
2164,4.1111011,3.6019319,0.39835819,0.33619068
2165,4.1111011,3.6019319,0.39835819,0.33619068
2166,4.1111011,3.6019319,0.39835819,0.33619068
2167,4.1111011,3.6019319,0.39835819,0.33619068
2168,4.1111011,3.6019319,0.39835819,0.33619068
2169,4.1111011,3.6019319,0.39835819,0.33619068
2170,4.1111011,3.6019319,0.39835819,0.33619068
2171,4.1111011,3.6019319,0.39835819,0.33619068
2172,4.1111011,3.6019319,0.39835819,0.33619068
2173,4.1111011,3.6019319,0.39835819,0.33619068
2174,4.1111011,3.6019319,0.39835819,0.33619068
2175,4.1111011,3.6019319,0.39835819,0.33619068
2176,4.1111011,3.6019319,0.39835819,0.33619068
2177,4.1111011,3.6019319,0.39835819,0.33619068
2178,4.1111011,3.6019319,0.39835819,0.33619068
2179,4.1111011,3.6019319,0.39835819,0.33619068
2180,4.1111011,3.6019319,0.39835819,0.33619068
2181,4.1111011,3.6019319,0.39835819,0.33619068
2182,4.1111011,3.6019319,0.39835819,0.33619068
2183,4.1111011,3.6019319,0.39835819,0.33619068
2184,4.1111011,3.6019319,0.39835819,0.33619068
2185,4.1111011,3.6019319,0.39835819,0.33619068
2186,4.1111011,3.6019319,0.39835819,0.33619068
2187,4.1111011,3.6019319,0.39835819,0.33619068
2188,4.1111011,3.6019319,0.39835819,0.33619068
2189,4.1111011,3.6019319,0.39835819,0.33619068
2190,4.1111011,3.6019319,0.39835819,0.33619068
2191,4.1111011,3.6019319,0.39835819,0.33619068
2192,4.1111011,3.6019319,0.39835819,0.33619068
2193,4.1111011,3.6019319,0.39835819,0.33619068
2194,4.1111011,3.6019319,0.39835819,0.33619068
2195,4.1111011,3.6019319,0.39835819,0.33619068
2196,4.1111011,3.6019319,0.39835819,0.33619068
2197,4.1111011,3.6019319,0.39835819,0.33619068
2198,4.1111011,3.6019319,0.39835819,0.33619068
2199,4.1111011,3.6019319,0.39835819,0.33619068
2200,4.1111011,3.6019319,0.39835819,0.33619068
